date,strategy,qqq_bh,tqqq_bh,spy_bh,gld_bh,blend_6040,spxl_strategy,spxl_bh
2010-08-20,60697.79006211167,64789.61714337249,62416.93064085605,63134.73021062743,70117.66241409615,64676.01443222111,53220.28632726922,58731.70727671421
2010-08-23,59971.5713729258,64654.99321724692,61194.45684151196,63394.02647229521,70506.6135943177,65058.804066824625,53429.9990077972,58505.45823213884
2010-08-24,55597.844438631204,63448.505546039174,57683.17052582288,62453.060632238215,70848.02255577144,64601.42098099021,50478.43301419589,55928.11636841163
2010-08-25,57656.22441067499,64059.04260591593,59412.6549861572,62695.69592641081,71436.65683789588,64684.68011461592,51269.11469287658,56511.416549634836
2010-08-26,55470.649703396084,63288.633742410006,57473.60350857413,62275.482683389106,71201.20222686147,64467.44452242675,50115.17334230595,55412.66344084851
2010-08-27,57845.46756445578,64059.04260591593,59375.0021447931,63240.1471711296,71230.63573733695,64896.69476036551,53228.43000462484,58030.67761801302
2010-08-30,56387.22838621664,63890.3761302377,57951.17854883413,62822.82600916372,71671.77320730915,65028.25631055473,50994.5183396659,56021.14868531852
2010-08-31,56156.4671341845,63670.63615447005,57664.094794742596,62822.82600916372,72365.31254134106,65048.34347469739,51405.647276509284,56294.90379335128
2010-09-01,62067.754730521694,65575.18611549621,62497.223642126795,64701.97562951097,72134.13276333042,66117.43990879846,57033.5774748699,61003.28126380089
2010-09-02,64702.00785036297,66307.70187743918,64641.935165654875,65304.49020955862,72489.79361238732,66443.66697064528,59145.090816853524,62782.57691291587
2010-09-03,69156.85793058618,67406.47231321986,67934.39529153425,66151.59272905476,72234.90250810981,66888.99390736611,62594.12760650302,65232.576472779896
2010-09-07,67682.16962246619,67452.31010339357,66780.62594453583,65905.89661225214,73232.82679229486,67019.61222693083,60456.80571591999,63597.392256877836
2010-09-08,70445.68022754218,68264.11365408583,69139.31430848045,66368.78978698395,73238.7965129822,67277.056195594,61910.0364678477,64811.393357099005
2010-09-09,72123.84449978865,68529.77989439428,70014.07476735042,66675.32243842483,72552.42434794384,67329.10089246185,63317.00426430068,65652.91089711258
2010-09-10,73105.4980611502,68780.7059266284,70767.56234580804,67011.96869771699,72653.89138537791,67472.74819697406,64535.473102776705,66660.01013783741
2010-09-13,77157.18884407899,70240.07311229533,74387.07566846635,68257.34749237736,73088.2381185052,68480.85430778426,67720.56182323377,69463.8424250056
2010-09-14,78254.01805959753,70537.39439304848,75329.20825591587,68214.94237861726,74530.52821411318,68555.05043900743,67622.42349228948,69366.57881315473
2010-09-15,79827.61309892386,70983.36329717892,76608.46067905425,68475.33100727272,74482.45523987374,68660.18096443379,68556.2548377777,70144.74484170863
